fma_track_id,licence
173,Attribution-NonCommercial-ShareAlike 3.0 International
189,Attribution-NonCommercial-ShareAlike 3.0 International
462,Attribution-NonCommercial-ShareAlike 3.0 International
472,Attribution-NonCommercial-ShareAlike 3.0 International
479,Attribution-NonCommercial-ShareAlike 3.0 International
492,Attribution-NonCommercial-ShareAlike 3.0 International
509,Attribution-NonCommercial-ShareAlike 3.0 International
511,Attribution-NonCommercial-ShareAlike 3.0 International
513,Attribution-NonCommercial-ShareAlike 3.0 International
521,Attribution-NonCommercial-ShareAlike 3.0 International
526,Attribution-NonCommercial-ShareAlike 3.0 International
549,Attribution-Noncommercial-Share Alike 3.0 United States
563,Attribution-NonCommercial-ShareAlike 3.0 International
569,Attribution-NonCommercial-ShareAlike 3.0 International
591,Attribution-NonCommercial-ShareAlike 3.0 International
605,Attribution-NonCommercial-ShareAlike 3.0 International
607,Attribution-NonCommercial-ShareAlike 3.0 International
633,Attribution-NonCommercial-ShareAlike 3.0 International
648,Attribution-NonCommercial-ShareAlike 3.0 International
649,Attribution-NonCommercial-ShareAlike 3.0 International
654,Attribution-NonCommercial-ShareAlike 3.0 International
669,Attribution-NonCommercial-ShareAlike 3.0 International
675,Attribution-NonCommercial-ShareAlike 3.0 International
683,Attribution-NonCommercial-ShareAlike 3.0 International
698,Attribution-NonCommercial-ShareAlike 3.0 International
711,Attribution-NonCommercial-ShareAlike 3.0 International
713,Attribution-NonCommercial-ShareAlike 3.0 International
770,Attribution-NonCommercial-ShareAlike 3.0 International
796,Attribution-NonCommercial-ShareAlike 3.0 International
804,Attribution-NonCommercial-ShareAlike 3.0 International
822,Attribution-NonCommercial-ShareAlike 3.0 International
835,Attribution-NonCommercial-ShareAlike 3.0 International
838,Attribution-NonCommercial-ShareAlike 3.0 International
855,Attribution-NonCommercial-ShareAlike 3.0 International
912,Attribution-NonCommercial-ShareAlike 3.0 International
938,Attribution-NonCommercial-ShareAlike 3.0 International
946,Attribution-NonCommercial-ShareAlike 3.0 International
954,Attribution-NonCommercial-ShareAlike 3.0 International
972,Attribution-NonCommercial-ShareAlike 3.0 International
1042,Attribution-Noncommercial-Share Alike 3.0 United States
1087,Attribution-NonCommercial-ShareAlike 3.0 International
1130,Attribution-Noncommercial-Share Alike 3.0 United States
1152,Attribution-Noncommercial-Share Alike 3.0 United States
1153,Attribution-Noncommercial-Share Alike 3.0 United States
1159,Attribution-Noncommercial-Share Alike 3.0 United States
1166,Attribution-Noncommercial-Share Alike 3.0 United States
1172,Attribution-Noncommercial-Share Alike 3.0 United States
1177,Attribution-Noncommercial-Share Alike 3.0 United States
1183,Attribution-Noncommercial-Share Alike 3.0 United States
1184,Attribution-Noncommercial-Share Alike 3.0 United States
1186,Attribution-Noncommercial-Share Alike 3.0 United States
1190,Attribution-Noncommercial-Share Alike 3.0 United States
1381,Attribution-Noncommercial-Share Alike 3.0 United States
1414,Attribution-Noncommercial-Share Alike 3.0 United States
1593,Attribution-Noncommercial-Share Alike 3.0 United States
1597,Attribution-Noncommercial-Share Alike 3.0 United States
1601,Attribution-Noncommercial-Share Alike 3.0 United States
1613,Attribution-Noncommercial-Share Alike 3.0 United States
1690,Attribution-Noncommercial-Share Alike 3.0 United States
1747,Attribution-NonCommercial-ShareAlike 3.0 International
1750,Attribution-NonCommercial-ShareAlike 3.0 International
1791,Attribution-NonCommercial-ShareAlike 3.0 International
1795,Attribution-NonCommercial-ShareAlike 3.0 International
1814,Attribution-NonCommercial-ShareAlike 3.0 International
1844,Attribution-Noncommercial-Share Alike 3.0 United States
1892,Attribution-NonCommercial-ShareAlike 3.0 International
1919,Attribution-Noncommercial-Share Alike 3.0 United States
1922,Attribution-Noncommercial-Share Alike 3.0 United States
1957,Attribution-Noncommercial-Share Alike 3.0 United States
1958,Attribution-Noncommercial-Share Alike 3.0 United States
1966,Attribution-Noncommercial-Share Alike 3.0 United States
3352,
3353,
3355,
3357,Attribution-Noncommercial-Share Alike 3.0 United States
3361,Attribution-Noncommercial-Share Alike 3.0 United States
3407,Attribution-NonCommercial-ShareAlike 3.0 International
3459,Attribution-NonCommercial-ShareAlike 3.0 International
3471,Attribution-Noncommercial-Share Alike 3.0 United States
3482,Attribution
3484,Attribution
3493,Attribution-Noncommercial-Share Alike 3.0 United States
3499,Attribution-Noncommercial-Share Alike 3.0 United States
3536,Attribution-Noncommercial-Share Alike 3.0 United States
3546,Attribution-Noncommercial-Share Alike 3.0 United States
3583,Attribution-Noncommercial-Share Alike 3.0 United States
3584,Attribution-Noncommercial-Share Alike 3.0 United States
3598,Attribution-Noncommercial-Share Alike 3.0 United States
3605,Attribution-Noncommercial-Share Alike 3.0 United States
3609,Attribution-Noncommercial-Share Alike 3.0 United States
3612,Attribution-NonCommercial-ShareAlike 3.0 International
3614,Attribution-NonCommercial-ShareAlike 3.0 International
3617,Attribution-NonCommercial-ShareAlike 3.0 International
3620,Attribution-NonCommercial-ShareAlike 3.0 International
3634,
3653,Attribution-Noncommercial-Share Alike 3.0 United States
3655,Attribution-Noncommercial-Share Alike 3.0 United States
3688,Attribution-Noncommercial-Share Alike 3.0 United States
3689,Attribution-NonCommercial-ShareAlike 3.0 International
3697,Attribution-NonCommercial-ShareAlike 3.0 International
3703,Attribution-Noncommercial-Share Alike 3.0 United States
3758,Attribution-Noncommercial-Share Alike 3.0 United States
3772,Attribution-NonCommercial-ShareAlike 3.0 International
3797,Attribution-NonCommercial-ShareAlike 3.0 International
3804,Attribution-Noncommercial-Share Alike 3.0 United States
3821,Attribution-Noncommercial-Share Alike 3.0 United States
3852,Attribution
3861,Attribution
3867,Attribution-NonCommercial-ShareAlike 3.0 International
3868,Attribution-Noncommercial-Share Alike 3.0 United States
3871,Attribution-Noncommercial-Share Alike 3.0 United States
3880,Attribution
3882,Attribution-NonCommercial-ShareAlike 3.0 International
3913,Attribution-NonCommercial-ShareAlike 3.0 International
3918,Attribution-NonCommercial-ShareAlike 3.0 International
3939,Attribution
3943,Attribution
3954,Attribution
3962,Attribution
3972,Attribution
3982,Attribution
3983,Attribution
4002,Attribution
4022,Attribution-NonCommercial-ShareAlike 3.0 International
