[2025-10-09 22:57:41,791][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 22:59:34,402][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:00:26,437][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:02:26,851][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:03:37,137][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:03:37,145][__main__][INFO] - Using device: cpu
[2025-10-09 23:03:37,323][torchaudio.utils.download][INFO] - Downloading models/hdemucs_high_trained.pt to /Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt
[2025-10-09 23:03:56,701][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:09:22,578][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:09:22,587][__main__][INFO] - Using device: cpu
[2025-10-09 23:09:22,758][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:09:23,087][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:17:10,013][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:17:10,021][__main__][INFO] - Using device: cpu
[2025-10-09 23:17:10,200][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:17:10,466][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:21:32,539][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:21:32,547][__main__][INFO] - Using device: cpu
[2025-10-09 23:21:32,739][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:21:33,088][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:22:29,534][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:22:29,542][__main__][INFO] - Using device: cpu
[2025-10-09 23:22:29,714][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:22:29,968][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:22:30,860][clarity.utils.flac_encoder][ERROR] - File /Users/rahulpeter/Documents/research_work/cadenza_challenge/baseline_code/clarity/recipes/cad_icassp_2026/baseline/cadenza_data/audio/train/signals/c221f2084c780e8f212f4697.flac not found.
[2025-10-09 23:25:54,327][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:25:54,336][__main__][INFO] - Using device: cpu
[2025-10-09 23:25:54,525][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:25:54,682][__main__][INFO] - Computing scores for 8802 out of 8802 signals
[2025-10-09 23:32:12,074][__main__][INFO] - Running stoi baseline on train set...
[2025-10-09 23:32:12,083][__main__][INFO] - Using device: mps
[2025-10-09 23:32:12,223][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-09 23:32:12,588][__main__][INFO] - Computing scores for 8453 out of 8802 signals
[2025-10-16 00:12:19,545][__main__][INFO] - Running stoi baseline on valid set...
[2025-10-16 00:13:08,598][__main__][INFO] - Running stoi baseline on valid set...
[2025-10-16 00:13:08,599][__main__][INFO] - Using device: cpu
[2025-10-16 00:13:08,770][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-16 00:13:09,025][__main__][INFO] - Computing scores for 1175 out of 1175 signals
[2025-10-16 14:21:06,202][__main__][INFO] - Running stoi baseline on valid set...
[2025-10-16 14:21:06,204][__main__][INFO] - Using device: cpu
[2025-10-16 14:21:06,343][torchaudio.utils.download][INFO] - The local file (/Users/rahulpeter/.cache/torch/hub/torchaudio/models/hdemucs_high_trained.pt) exists. Skipping the download.
[2025-10-16 14:21:06,456][__main__][INFO] - Computing scores for 771 out of 1175 signals
